Key,Value
4,클라비쿠스 바일의 가면
66,메이룬스의 면도날
128,몰라그 발의 철퇴
190,허씬의 반지
252,생귄의 장미
314,오그마 인피니움
376,와바잭
438,나미라의 반지
500,타락의 해골
562,아주라의 별
624,침묵 %it
686,현자의 %it
748,들불의 %it
810,포스 볼트의 %it
872,빛나는 %it
934,봉인된 문 %it
996,부정할 수 없는 접근의 %it
1058,독 해독제의 %it
1120,생명 흡수의 %it
1182,마법사의 불꽃 %it
1244,도약하는 %it
1306,수면 보행 %it
1368,매지카 %it
1430,지치지 않는 %it
1492,깃털처럼 가벼운 %it
1554,수호자 %it
1616,충격의 %it
1678,저주받은 %it
1740,원거리 침묵 %it
1802,독 뱉기 %it
1864,화염구의 타오르는 %it
1926,얼음 폭풍의 차가운 %it
1988,번개 %it
2050,망자의 %it
2112,치유 %it
2174,오크 군주의 %it
2236,억제할 수 없는 %it
2298,강철 의지의 %it
2360,날렵함의 %it
2422,토르고의 %it
2484,강인함의 %it
2546,우정의 %it
2608,행운의 %it
2670,오블리비언의 %it
2732,독구름의 %it
2794,마비의 %it
2856,볼렌드렁
2918,흑마법사의 반지
2980,아우리엘의 활
3042,강령술사의 목걸이
3104,크리사미어
3166,군주의 갑옷
3228,매그너스의 지팡이
3290,카짓의 반지
3352,에보니 사슬갑옷
3414,아우리엘의 방패
3476,주문 파괴자
3538,해골 열쇠
3600,에보니 검
