Key,Value
17,오블리비언
1,클라비쿠스 바일
2,메이룬스 데이건
3,몰라그 발
4,허씬
5,생귄
6,페리아이트
7,말라카스
8,허메우스 모라
10,보에시아
11,나미라
12,메리디아
13,베르미나
14,녹터널
15,메팔라
356,밤의 어머니
108,다크 브라더후드
839,암흑 교관
840,암흑 조제사
841,맹독의 대가
842,암흑 모략가
843,암흑 결속사
807,암흑 학살자
16,아주라
9,쉐오고라스
450,일반 사원
240,사원 선교사
810,사원 재무관
813,사원 치유사
811,사원 축복사
25,에본암
90,에본암의 성채
91,전투 군주단
21,아케이
82,아케이 교단
83,원 기사단
453,아케이의 약제사단
454,아케이의 조제사
456,아케이의 소환사
455,아케이의 결속사
241,아케이의 교관
22,젠
84,젠의 결의회
85,철 기사단
462,젠의 약제사단
463,젠의 조제사
464,젠의 소환사
243,젠의 교관
24,마라
88,마라의 자애회
402,퀴스틀리 경
89,마라 기사단
468,마라의 약제사단
469,마라의 조제사
470,마라의 소환사
245,마라의 교관
26,아카토쉬
92,아카토쉬 성가회
93,시간 기사단
385,차르벡-시
473,아카토쉬의 약제사단
474,아카토쉬의 조제사
475,아카토쉬의 소환사
247,아카토쉬의 교관
27,줄리아노스
94,줄리아노스 학파
95,멘토 기사단
407,브리차
480,줄리아노스의 장인
481,줄리아노스의 대장장이단
482,줄리아노스의 소환사
249,줄리아노스의 교관
29,디벨라
98,디벨라의 전당
99,백합 기사단
485,디벨라의 약제사단
487,디벨라의 조제사
488,디벨라의 소환사
250,디벨라의 교관
33,스텐다르
106,스텐다르 신전
107,성전사단
490,스텐다르의 약제사단
491,스텐다르의 조제사
492,스텐다르의 소환사
252,스텐다르의 교관
35,키나레스
36,키나레스 신전
37,키나레스 기사단
370,카울더 경
497,키나레스의 주문 제작자
498,키나레스의 소환사
496,키나레스의 마법 부여사
254,키나레스의 교관
977,오블리비언의 비밀
40,마법사 길드
68,대마도학장
69,길드 마지스터
369,포푸닥스
396,카레시스
71,고서의 대가
70,학술원장
74,점술의 대가
72,병기술의 대가
73,팔라티누스
76,입문자들의 스승
60,학술회
61,귀족회
62,여행자 연맹
63,용병 마법사단
64,고립주의자
65,실용 마법사단
66,결사
67,등불 기사단
801,오딜릭 마법사단
802,장인회
150,브라세스
151,하르베누
152,트라페이
153,리레지
154,몬탈리온
155,쿨라리
156,갈리시
157,안토티스
158,셀레누
41,전사 길드
849,전사 길드 교관
850,전사 길드 장비 담당자
851,전사 길드 의뢰 담당자
42,도둑 길드
77,길드장
373,까마귀
388,타이크
399,오징어
375,버트럼 스포드 경
374,타이르 톱필드
389,위트카
18,입문자들의 스승
803,그림자 교관
804,그림자 모략가
805,그림자 감정사
806,그림자 첩자
852,무작위 통치자
242,무작위 귀족
853,무작위 기사
200,드위넨
516,드위넨 궁정
517,드위넨 주민
414,까마귀 기사단
844,일반 기사단
845,대장장이
846,의뢰 담당자
847,치유사
848,궁내관
201,대거폴
364,고스리드 왕
371,모바르
372,왕실 근위대
365,아우브키 여왕
500,신다사
366,미니세라
367,브리드웰 경
368,용 기사단
377,브리드웰 부인
501,노스브리지 부인
595,대거폴 궁정
518,대거폴 주민
203,베토니
519,베토니 궁정
520,베토니 주민
202,글렌포인트
521,글렌포인트 궁정
522,글렌포인트 주민
413,부엉이 기사단
204,센티넬
380,아코리티 여왕
383,보세크 경
384,왕실 근위대
381,그레클리스 왕자
382,로툰 왕자
386,카바르 경
408,촛불 기사단
387,프로블리스 경
596,센티넬 궁정
523,센티넬 주민
205,안티클레어
400,도리안나 플라이트 부인
410,불꽃 기사단
401,오베론 플라이트 경
403,패링턴
404,퍼라이트 경
597,안티클레어 궁정
524,안티클레어 주민
206,레인린
379,슈라이크 남작
411,뿔의 군세
405,뎀카 남작부인
406,케인 경
246,레인린 궁정
525,레인린 주민
207,웨이레스트
390,에드와이어 왕
391,바렌지아 여왕
392,엘리사나 공주
393,헬세스 왕자
394,모르기아 공주
395,카스텔리안 경
397,다크워스 경
409,장미 기사단
398,우드본 경
499,웨이레스트 궁정
526,웨이레스트 주민
208,노스무어
527,노스무어 궁정
528,노스무어 주민
209,메네비아
529,메네비아 궁정
530,메네비아 주민
210,알카이르
531,알카이르 궁정
532,알카이르 주민
211,코에그리아
533,코에그리아 궁정
534,코에그리아 주민
212,보리아네
535,보리아네 궁정
536,보리아네 주민
213,캄브리아
537,캄브리아 궁정
538,캄브리아 주민
214,프리기아스
539,프리기아스 궁정
540,프리기아스 주민
215,우르바이우스
541,우르바이우스 궁정
542,우르바이우스 주민
216,이칼론
543,이칼론 궁정
544,이칼론 주민
217,대니아
545,대니아 궁정
546,대니아 주민
218,샬고라
547,샬고라 궁정
548,샬고라 주민
219,아비본-고라
549,아비본-고라 궁정
550,아비본-고라 주민
415,바퀴 기사단
220,카이루
551,카이루 궁정
552,카이루 주민
221,포타고
553,포타고 궁정
554,포타고 주민
222,머크와사
555,머크와사 궁정
556,머크와사 주민
223,아야소피아
557,아야소피아 궁정
558,아야소피아 주민
224,티고누스
559,티고누스 궁정
560,티고누스 주민
225,코잔세트
561,코잔세트 궁정
562,코잔세트 주민
226,사타칼람
563,사타칼람 궁정
564,사타칼람 주민
227,토탐부
565,토탐부 궁정
566,토탐부 주민
416,스카라베 기사단
228,모른노스
567,모른노스 궁정
568,모른노스 주민
229,에페소스
569,에페소스 궁정
570,에페소스 주민
230,산타키
571,산타키 궁정
572,산타키 주민
231,안티필로스
573,안티필로스 궁정
574,안티필로스 주민
417,매 기사단
232,베르가마
575,베르가마 궁정
576,베르가마 주민
233,가보돈
577,가보돈 궁정
578,가보돈 주민
234,툴룬
579,툴룬 궁정
580,툴룬 주민
235,일레산 구릉
581,일레산 구릉 궁정
582,일레산 구릉 주민
236,시비아데스
583,시비아데스 궁정
584,시비아데스 주민
301,예언자
302,수행사제
303,눌파가
304,스카크마트
305,벌레의 왕
306,강령술사단
350,셉팀 제국
351,대기사
129,블레이드
352,브리시엔나 부인
353,언더킹
354,언더킹의 요원
355,하스 경
412,참된 뿔의 군세
358,오시니움
357,고트워그
598,오시니움 궁정
599,오시니움 주민
359,플레싱턴 경
418,잔 기사단
360,킬바 경
361,철모어 퀼
362,퀼 서커스단
376,발담 그레이맨
378,실치 그린우드
419,글렌모릴 마녀회
420,먼지 마녀회
421,데블록 마녀회
422,타마릴린 마녀회
423,절벽의 자매단
424,분노의 딸들
425,스케핑턴 마녀회
426,습지 마녀회
427,산악 마녀회
428,대거폴 마녀회
429,벨다마
430,키코스의 자매단
431,파도 마녀회
432,알카이르 마녀회
510,상인회
511,음유시인 조합
512,매춘부
513,요정족
514,아이들
515,무용수
502,로스가리아
503,로스가리아 궁정
504,로스가리아 주민
505,드래곤테일
506,드래곤테일 궁정
507,드래곤테일 주민
508,알리크라
509,알리크라 궁정
590,알리크라 주민
591,닥프론
592,닥프론 궁정
593,닥프론 주민
199,발피에라 섬
363,메도라
244,발피에라 궁정
198,발피에라 주민
196,글렌움브라 황야
195,글렌움브라 황야 궁정
194,글렌움브라 황야 주민
