1.	당신은 ___ 항목을 사용하는 것을 가장 좋아합니다.
a.	단검 ?4701
	#4236
	!4236
	28 +12
	IT 3 3 0
b.	맨손 격투 ?4702
	#4237
	!4237
	30 +12
	IT 2 1 0
c.	도끼술 ?4703
	#4238
	!4238
	31 +12
	IT 3 14 0
d.	둔기 ?4704
	#4239
	!4239
	32 +12
	IT 3 2 1
e.	궁술 ?4705
	#4240
	!4773
	33 +12
	IT 3 18 1
	IT 3 18	1
	IT 3 18	1
	IT 3 18	2
f.	장검 ?4706
	#4241
	!4241
	29 +12
	IT 3 8 0

2.	당신을 모험의 삶으로 이끄는 동기는 무엇입니까?
a.	부
	#4560
	GP +500
b.	명성
	#4561
	r4 +10
	r2 +10
c.	지식
	#4562
	IT 7 0 0
d.	재미
	#4563
	1 +3
	2 +3
e.	타인 돕기
	#4564
	r0 +10
	
3.	다음 기술 중 가장 오랫동안 수련한 것은 무엇입니까?
a.	회피
	20 +6
b.	은신
	16 +6
c.	기습 공격
	19 +6
d.	자물쇠 따기
	13 +6
e.	소매치기
	15 +6
f.	등반
	18 +6
g.	치명타
	34 +6
h.	달리기
	21 +6
k.	도약
	3 +6

4.	어린 시절 당신의 별명은 ___였습니다.
a.	토끼
	3 +6
b.	구피
	17 +6
c.	퀵실버
	21 +6
d.	싸움꾼
	30 +6
e.	원숭이
	18 +6

5.	당신은 ___ 항목을 빌렸고 나중에 그대로 가지게 되었습니다.
a.	금화 200닢
	GP +200
b.	책 한 권
	IT 7 0 0
c.	흉갑
	IT 2 0 0
d.	견갑
	IT 2 3 0
	IT 2 4 0
e.	다이카타나
	IT 3 10 1

6.	어떤 신을 숭배합니까?
a.	없음
	r2 +5
b.	아케이, 삶과 죽음의 신 rf82 +5
c.	제니타르, 상업의 신 rf84 +5
d.	마라, 어머니 여신 rf88 +5
e.	디벨라, 미의 여신 rf98 +5
f.	줄리아노스, 논리의 신 rf94 +5
g.	아카토쉬, 시간의 신 rf92 +5
h.	스텐다르, 자비의 신 rf106 +5
i.	키나레스, 공기의 여신 rf36 +5

7.	당신이 가장 어려워하는 것은 ___입니다.
a.	독 저항
	RP -10
b.	깨어 있고 경계하기
	FT -5
c.	타인과 잘 지내기 &
	RR -5
d.	질병 예방
	RD -5
e.	마법 저항
	MR -5
f.	전투 및 패링
	TH -5

8.	어린 시절부터 당신은 ___ 항목을 모아왔습니다.
a.	금화 100닢
	GP +100
	IT 3 16 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
b.	책 한 권
	IT 7 0 0
	IT 3 16 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
c.	화살 12발
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 16 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
d.	흉갑
	IT 2 0 1
	IT 3 16 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0

9.	당신은 다른 이들보다 ___ 쪽과 더 친합니다.
a.	사나운 하피
	#4428
	5 +6
b.	단순한 거인
	#4429
	6 +6
c.	영광스러운 드래곤
	#4430
	7 +6
d.	방종한 님프
	#4431
	8 +6
e.	지옥의 데이드라
	#4432
	9 +6
f.	전원적인 스프리건
	#4433
	10 +6
g.	원시적인 켄타우로스
	#4434
	11 +6
h.	장난기 많은 임프
	#4435
	12 +6

10.	보상으로 금화 200닢을 받았을 때, 당신은 ___하기로 했습니다.
a.	저축하기.
	GP +200
b.	에보니 단검 사기
	IT 3 0 7
c.	책 사기
	IT 7 0 0
d.	루비 사기
	IT 14 0 0
e.	은 지팡이 사기
	IT 3 2 2

11.	당신은 여가 시간에 ___ 항목을 수련합니다.
a.	단검
	28 +6
b.	맨손 격투
	30 +6
c.	도끼술
	31 +6
d.	둔기
	32 +6
e.	궁술
	33 +6
f.	장검
	29 +6

12.	당신은 ___ 쪽과 친한 친구 사이입니다.
a.	수도사
	#4212
	AF O 8 12 +1
b.	마법사
	#4213
	AF O 8 2 +1
c.	도적
	#4214
	AF O 8 8 +1
d.	전사
	#4215
	AF O 8 17 +1
e.	암살자
	#4216
	AF O 8 11 +1

